Rank,User_Id,Commnet_Amount
258,67004765,4
259,62372299,4
260,29629210,4
261,358739,4
262,65412382,4
263,45502378,4
264,27956979,4
265,523395,4
266,69261150,4
267,13957398,4
268,44434605,4
269,192763,4
270,379451,4
271,26251732,4
272,13063518,4
273,63911157,4
274,16603388,4
275,58923635,4
276,21676453,4
277,17173195,4
278,23634565,4
279,61287692,4
280,23979778,4
281,53860278,4
282,51027909,4
283,69573394,4
284,59600366,4
285,54547503,4
286,71299340,4
287,3770357,4
288,2073520,4
289,67359781,4
290,70037715,4
291,58777662,4
292,20183338,4
293,408839,4
294,41973174,4
295,35452302,4
296,65326277,4
297,46918499,4
298,42827947,4
299,22956012,4
300,39490855,4
301,61983322,4
302,63351622,4
303,20657712,4
304,47156055,4
305,65067919,4
306,65538219,4
307,28388557,4
308,7122693,4
309,37429222,4
310,44860527,4
311,50443654,4
312,55678593,4
313,908699,4
314,75715007,4
315,38816970,4
316,125541,4
317,75812583,4
318,41855254,4
319,22629813,4
320,33339923,4
321,21066648,4
322,9905192,4
323,7132394,4
324,34919155,4
325,745812,4
326,60602989,4
327,46931257,4
328,61792978,4
329,75890335,4
330,25294557,4
331,57595872,4
332,60206770,4
333,27988262,4
334,28588861,4
335,66520383,4
336,12443097,4
337,59209989,4
338,60870716,4
339,67963088,4
340,66421514,4
341,66865645,4
342,70726176,4
343,46486104,4
344,55640880,4
345,1184284,4
346,66603644,4
347,35463378,4
348,30357138,4
349,75716722,4
350,76779245,4
351,62857089,4
352,33213475,4
353,18646962,4
354,63858546,4
355,9151670,4
356,66200995,4
357,77485322,4
358,21896305,4
359,30188735,3
360,11224616,3
361,64779973,3
362,51184641,3
363,48132017,3
364,69673872,3
365,7717049,3
366,59969301,3
367,19907225,3
368,57641454,3
369,35495493,3
370,65113539,3
371,2128717,3
372,27491561,3
373,65417924,3
374,58147755,3
375,4728964,3
376,57882928,3
377,21991854,3
378,68484538,3
379,69526895,3
380,63774336,3
381,46986266,3
382,25676827,3
383,56754077,3
384,16855960,3
385,60667782,3
386,53713809,3
387,72895420,3
388,65420067,3
389,59456552,3
390,30370898,3
391,52829265,3
392,1866801,3
393,28023778,3
394,66746113,3
395,73905922,3
396,54329330,3
397,48183969,3
398,28863574,3
399,34805902,3
400,62266564,3
401,13355775,3
402,72525005,3
403,67311634,3
404,69620519,3
405,6244554,3
406,65265712,3
407,5310634,3
408,46923481,3
409,51857970,3
410,46826163,3
411,4523842,3
412,45818638,3
413,40414270,3
414,60215558,3
415,51413486,3
416,62475701,3
417,72318600,3
418,65990911,3
419,55065991,3
420,59950369,3
421,46565261,3
422,47112177,3
423,60552545,3
424,41105837,3
425,39230658,3
426,47693082,3
427,59523432,3
428,42572458,3
429,515049,3
430,64890360,3
431,16862426,3
432,39126935,3
433,19845139,3
434,6373601,3
435,35951226,3
436,22611171,3
437,68128305,3
438,31215304,3
439,16225687,3
440,60772256,3
441,58658193,3
442,74622683,3
443,72929587,3
444,70944699,3
445,9271683,3
446,72169428,3
447,165864,3
448,64462680,3
449,67692380,3
450,2725950,3
451,68623660,3
452,71798940,3
453,3779155,3
454,30706749,3
455,63428370,3
456,60359437,3
457,8399640,3
458,64356798,3
459,31638827,3
460,51419812,3
461,31799680,3
462,27421933,3
463,33217952,3
464,18851823,3
465,55195896,3
466,71481505,3
467,74439155,3
468,65482851,3
469,66504603,3
470,65660272,3
471,69365652,3
472,63569825,3
473,63591903,3
474,948194,3
475,61961296,3
476,56683561,3
477,60091115,3
478,14471170,3
479,14195106,3
480,32239510,3
481,57495180,3
482,21489485,3
483,65960622,3
484,68215780,3
485,69691054,3
486,63645156,3
487,75306429,3
488,39263248,3
489,75311091,3
490,17063901,3
491,1931421,3
492,45406730,3
493,69672548,3
494,13648443,3
495,43068131,3
496,56549585,3
497,51842646,3
498,73643996,3
499,71984702,3
500,54468547,3
501,63102166,3
502,28220645,3
503,57084036,3
504,51839868,3
505,75806743,3
506,57411182,3
507,61881917,3
508,28379300,3
509,39116703,3
510,66300873,3
511,59003930,3
512,195475,3
513,35980718,3
514,64521822,3
515,58163322,3
516,41842144,3
517,67834358,3
518,67229866,3
519,536526,3
520,38835756,3
521,32036298,3
522,15372802,3
523,79562,3
524,57475904,3
525,63483890,3
526,31669297,3
527,72096701,3
528,12753220,3
529,26738619,3
530,63633849,3
531,63296061,3
